timestamp,metric_name,gpu_id,device,uuid,modelName,Hostname,container,pod,namespace,value,labels_raw
2025-01-01T12:00:00Z,TEST_METRIC,0,nvidia0,GPU-00000001-0000-0000-0000-000000000001,TestGPU,host-demo,,,,42,
2025-01-01T12:00:01Z,TEST_METRIC,0,nvidia0,GPU-00000001-0000-0000-0000-000000000001,TestGPU,host-demo,,,,43,
2025-01-01T12:00:02Z,TEST_METRIC,1,nvidia1,GPU-00000002-0000-0000-0000-000000000002,TestGPU,host-demo,,,,44,
2025-01-01T12:00:03Z,TEST_METRIC,2,nvidia2,GPU-00000003-0000-0000-0000-000000000003,TestGPU,host-demo,,,,45,
2025-01-01T12:00:04Z,TEST_METRIC,3,nvidia3,GPU-00000004-0000-0000-0000-000000000004,TestGPU,host-demo,,,,46,
2025-01-01T12:00:05Z,TEST_METRIC,4,nvidia4,GPU-00000005-0000-0000-0000-000000000005,TestGPU,host-demo,,,,47,
2025-01-01T12:00:06Z,TEST_METRIC,5,nvidia5,GPU-00000006-0000-0000-0000-000000000006,TestGPU,host-demo,,,,48,
2025-01-01T12:00:07Z,TEST_METRIC,6,nvidia6,GPU-00000007-0000-0000-0000-000000000007,TestGPU,host-demo,,,,49,
2025-01-01T12:00:08Z,TEST_METRIC,7,nvidia7,GPU-00000008-0000-0000-0000-000000000008,TestGPU,host-demo,,,,50,
2025-01-01T12:00:09Z,TEST_METRIC,8,nvidia8,GPU-00000009-0000-0000-0000-000000000009,TestGPU,host-demo,,,,51,
